,Primary completion rate: Male: % of relevant age group: 2015,Primary completion rate: Female: % of relevant age group: 2015,Lower secondary completion rate: Male: % of relevant age group: 2015,Lower secondary completion rate: Female: % of relevant age group: 2015,Youth literacy rate: Male: % of ages 15-24: 2005-14,Youth literacy rate: Female: % of ages 15-24: 2005-14,Adult literacy rate: Male: % ages 15 and older: 2005-14,Adult literacy rate: Female: % ages 15 and older: 2005-14,Students at lowest proficiency on PISA: Mathematics: % of 15 year-olds: 2015,Students at lowest proficiency on PISA: Reading: % of 15 year-olds: 2015,Students at lowest proficiency on PISA: Science: % of 15 year-olds: 2015,Population: millions: 2016,Surface area: sq. km thousands: 2016,Population density: people per sq. km: 2016,"Gross national income, Atlas method: $ billions: 2016","Gross national income per capita, Atlas method: $: 2016",Purchasing power parity gross national income: $ billions: 2016,per capita: $: 2016,Gross domestic product: % growth : 2016,per capita: % growth: 2016,Prevalence of smoking: Male: % of adults: 2015,Prevalence of smoking: Female: % of adults: 2015,"Incidence of tuberculosis: per 100,000 people: 2015",Prevalence of diabetes: % of population ages 20 to 79: 2015,Incidence of HIV: Total: % of uninfected population ages 15-49: 2015,Prevalence of HIV: Total: % of population ages 15-49: 2015,Prevalence of HIV: Women's share of population ages 15+ living with HIV: %: 2015,"Prevalence of HIV: Youth, Male: % of population ages 15-24: 2015","Prevalence of HIV: Youth, Female: % of population ages 15-24: 2015",Antiretroviral therapy coverage: % of people living with HIV: 2015,"Cause of death: Communicable diseases and maternal, prenatal, and nutrition conditions: % of population: 2015",Cause of death: Non-communicable diseases: % of population: 2015,Cause of death: Injuries: % of population: 2015,Access to an improved water source: % of population: 1990,Access to an improved water source: % of population: 2015,Access to improved sanitation facilities: % of population: 1990,Access to improved sanitation facilities: % of population: 2015,Child immunization rate: Measles: % of children ages 12-23 months: 2015,Child immunization rate: DTP3: % of children ages 12-23 months: 2015,Children with acute respiratory infection taken to health provider: % of children under age 5 with ARI: 2009-2016,Children with diarrhea who received oral rehydration and continuous feeding: % of children under age 5 with diarrhea: 2009-2016,Children sleeping under treated bed nets: % of children under age 5: 2009-2016,Children with fever receiving antimalarial drugs: % of children under age 5 with fever: 2009-2016,Tuberculosis: Treatment success rate: % of new cases: 2014,Tuberculosis: Cases detection rate: % of new estimated cases: 2015
Sao Tome and Principe,81.0,85.0,70.0,78.0,97.0,96.0,95.0,85.0,,,,0.2,1.0,208.0,0.3,1730.0,0.6,3240.0,4.0,1.7,,,97.0,2.3,,,,,,,41.0,48.0,11.0,,97.0,,35.0,93.0,96.0,69.0,62.0,61.1,1.4,74.0,96.0
Saudi Arabia,107.0,109.0,109.0,107.0,99.0,99.0,97.0,91.0,,,,32.3,2149.7,15.0,702.1,21750.0,1799.7,55760.0,1.7,-0.5,28.0,3.0,12.0,20.0,,,,,,,12.0,72.0,16.0,92.0,97.0,92.0,100.0,98.0,98.0,,,,,62.0,87.0
Senegal,54.0,61.0,38.0,40.0,61.0,51.0,53.0,34.0,,,,15.4,196.7,80.0,14.6,950.0,38.2,2480.0,6.6,3.6,23.0,1.0,139.0,2.2,0.01,0.5,64.0,0.1,0.1,40.0,47.0,41.0,12.0,60.0,79.0,36.0,48.0,80.0,89.0,42.0,49.0,43.2,6.7,87.0,63.0
Serbia,101.0,101.0,102.0,102.0,99.0,99.0,99.0,97.0,15.0,3.0,,7.1,88.4,81.0,37.3,5280.0,96.6,13680.0,2.8,3.3,44.0,40.0,21.0,10.3,,,,,,,2.0,94.0,3.0,99.0,99.0,97.0,96.0,86.0,95.0,90.0,60.0,,,81.0,88.0
Seychelles,107.0,110.0,106.0,117.0,99.0,99.0,93.0,94.0,,,,0.1,0.5,206.0,1.5,15410.0,2.7,28390.0,4.5,3.1,43.0,9.0,10.0,17.4,,,,,,,13.0,79.0,8.0,96.0,96.0,98.0,98.0,98.0,97.0,,,,,69.0,87.0
Sierra Leone,67.0,65.0,54.0,48.0,74.0,57.0,58.0,37.0,,,,7.4,72.3,102.0,3.6,490.0,9.8,1320.0,6.1,3.8,60.0,12.0,307.0,2.2,0.07,1.3,61.0,0.2,0.7,27.0,59.0,31.0,10.0,37.0,63.0,10.0,13.0,76.0,86.0,72.0,58.0,49.0,48.3,85.0,60.0
Singapore,,,,,100.0,100.0,99.0,95.0,2.0,0.0,0.0,5.6,0.7,7909.0,290.9,51880.0,476.9,85050.0,2.0,0.7,28.0,5.0,44.0,10.5,,,,,,,21.0,75.0,4.0,100.0,100.0,99.0,100.0,95.0,96.0,,,,,78.0,87.0
Sint Maarten (Dutch part),,,,,,,,,,,,0.0,0.0,1177.0,,,,,,,,,6.0,13.1,,,,,,,,,,,,,,,,,,,,100.0,87.0
Slovak Republic,98.0,97.0,89.0,88.0,,,,,12.0,4.0,2.0,5.4,49.0,113.0,91.2,16810.0,162.4,29910.0,3.3,3.2,40.0,18.0,7.0,7.8,,,,,,,5.0,89.0,6.0,100.0,100.0,99.0,99.0,95.0,96.0,,,,,88.0,87.0
Slovenia,99.0,99.0,93.0,95.0,100.0,100.0,100.0,100.0,4.0,1.0,0.0,2.1,20.3,103.0,44.7,21660.0,66.8,32360.0,2.5,2.4,22.0,18.0,7.0,7.8,,,,,,,5.0,88.0,7.0,100.0,100.0,99.0,99.0,94.0,95.0,,,,,77.0,87.0
Solomon Islands,89.0,89.0,70.0,71.0,,,,,,,,0.6,28.9,21.0,1.1,1880.0,1.3,2150.0,3.0,0.9,,,89.0,16.4,,,,,,,22.0,68.0,10.0,,81.0,,30.0,92.0,98.0,,,,,91.0,80.0
Somalia,,,,,,,,,,,,14.3,637.7,23.0,,,,,,,,,274.0,5.1,0.05,0.5,51.0,0.1,0.2,8.0,68.0,22.0,10.0,,,,,46.0,42.0,,,,,86.0,47.0
South Africa,,,,,99.0,99.0,95.0,93.0,,,,55.9,1219.1,46.0,306.6,5480.0,718.9,12860.0,0.3,-1.3,31.0,7.0,834.0,7.6,1.44,19.2,60.0,4.0,11.6,48.0,44.0,48.0,8.0,83.0,93.0,51.0,66.0,76.0,69.0,,,,,78.0,63.0
South Sudan,,,,,44.0,30.0,35.0,19.0,,,,12.2,644.3,,9.7,820.0,20.2,1700.0,-6.3,-9.1,,,146.0,8.1,0.22,2.5,59.0,0.6,1.1,11.0,61.0,28.0,11.0,,59.0,,7.0,20.0,31.0,48.0,23.0,45.8,31.9,71.0,54.0
Spain,99.0,100.0,91.0,97.0,100.0,100.0,99.0,97.0,7.0,1.0,0.0,46.4,505.9,93.0,1278.0,27520.0,1687.7,36340.0,3.2,3.2,31.0,27.0,12.0,7.7,0.01,0.4,23.0,0.1,0.1,74.0,5.0,92.0,4.0,100.0,100.0,100.0,100.0,96.0,97.0,,,,,58.0,73.0
Sri Lanka,100.0,98.0,97.0,96.0,98.0,99.0,93.0,90.0,,,,21.2,65.6,338.0,80.1,3780.0,253.8,11970.0,4.4,3.2,28.0,0.0,65.0,8.0,0.01,0.1,32.0,0.1,0.1,19.0,8.0,80.0,13.0,68.0,96.0,71.0,95.0,99.0,99.0,,,,,84.0,69.0
St. Kitts and Nevis,84.0,86.0,99.0,99.0,,,,,,,,0.1,0.3,211.0,0.9,15850.0,1.4,25940.0,3.6,2.6,,,5.0,13.0,,,,,,,,,,98.0,98.0,,,95.0,93.0,,,,,100.0,87.0
St. Lucia,,,86.0,87.0,,,,,,,,0.2,0.6,292.0,1.4,7670.0,2.0,11370.0,0.7,0.2,,,9.0,10.9,,,,,,,10.0,82.0,8.0,93.0,96.0,78.0,91.0,97.0,99.0,,,,,100.0,86.0
St. Martin (French part),,,,,,,,,,,,0.0,0.1,587.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,98.0,99.0,97.0,100.0,,,,,,,,0.1,0.4,281.0,0.7,6790.0,1.3,11530.0,3.0,2.8,,,7.0,11.9,,,,,,,14.0,79.0,7.0,88.0,95.0,63.0,,99.0,98.0,,,,,,87.0
Sudan,59.0,54.0,53.0,48.0,69.0,63.0,60.0,47.0,,,,39.6,1879.4,23.0,84.9,2140.0,169.6,4290.0,4.7,2.2,,,88.0,8.9,0.02,0.3,47.0,0.1,0.2,8.0,36.0,50.0,13.0,67.0,56.0,27.0,24.0,87.0,93.0,48.0,59.0,25.3,65.0,82.0,53.0
Suriname,90.0,99.0,36.0,65.0,98.0,99.0,95.0,94.0,,,,0.6,163.8,4.0,3.9,7070.0,7.7,13720.0,-10.4,-11.2,,,33.0,12.5,0.06,1.1,47.0,0.4,0.5,55.0,14.0,75.0,11.0,,95.0,,79.0,94.0,89.0,76.0,61.0,43.4,0.0,77.0,80.0
Swaziland,78.0,80.0,43.0,40.0,92.0,95.0,84.0,82.0,,,,1.3,17.4,78.0,3.8,2830.0,10.7,7980.0,-2.2,-4.0,19.0,2.0,565.0,3.8,2.36,28.8,59.0,7.3,16.7,67.0,52.0,38.0,10.0,39.0,74.0,49.0,58.0,78.0,90.0,60.0,46.0,1.5,1.7,78.0,59.0
Sweden,104.0,104.0,106.0,106.0,,,,,7.0,2.0,1.0,9.9,447.4,24.0,541.0,54630.0,495.2,50000.0,3.2,2.1,20.0,21.0,9.0,4.7,,,,,,,6.0,89.0,5.0,100.0,100.0,99.0,99.0,98.0,98.0,,,,,88.0,87.0
Switzerland,94.0,97.0,95.0,99.0,,,,,5.0,1.0,1.0,8.4,41.3,212.0,680.1,81240.0,533.0,63660.0,1.3,0.2,27.0,20.0,7.0,6.1,,,,,,,4.0,90.0,6.0,100.0,100.0,100.0,100.0,94.0,97.0,,,,,,87.0
Syrian Arab Republic,69.0,69.0,51.0,52.0,97.0,95.0,91.0,80.0,,,,18.4,185.2,100.0,,,,,,,,,20.0,8.1,,,,,,,5.0,48.0,47.0,86.0,90.0,85.0,96.0,53.0,41.0,,,,,70.0,80.0
Tajikistan,100.0,99.0,99.0,94.0,100.0,100.0,100.0,100.0,,,,8.7,141.4,63.0,9.7,1110.0,30.6,3500.0,6.9,4.6,,,87.0,6.4,0.03,0.3,34.0,0.1,0.1,19.0,26.0,64.0,9.0,,74.0,,95.0,97.0,96.0,63.0,61.0,,2.1,89.0,80.0
Tanzania,70.0,77.0,38.0,32.0,87.0,85.0,83.0,73.0,,,,55.6,947.3,63.0,48.5,900.0,148.0,2740.0,7.0,3.7,28.0,4.0,306.0,4.1,0.21,4.7,60.0,1.0,1.6,53.0,55.0,34.0,11.0,54.0,56.0,7.0,16.0,99.0,98.0,55.0,46.0,54.4,51.1,90.0,37.0
Thailand,96.0,90.0,84.0,84.0,98.0,99.0,95.0,92.0,24.0,3.0,1.0,68.9,513.1,135.0,388.3,5640.0,1106.8,16070.0,3.2,2.9,41.0,2.0,172.0,7.1,0.02,1.1,41.0,0.4,0.3,65.0,18.0,71.0,10.0,87.0,98.0,87.0,93.0,99.0,99.0,83.0,53.0,,,80.0,53.0
Timor-Leste,103.0,110.0,74.0,81.0,80.0,79.0,64.0,53.0,,,,1.3,14.9,85.0,2.7,2180.0,5.4,4340.0,4.3,1.9,,,498.0,7.2,,,,,,,44.0,47.0,9.0,,72.0,,41.0,70.0,76.0,71.0,63.0,41.0,5.7,84.0,57.0
Togo,89.0,80.0,50.0,32.0,87.0,73.0,74.0,48.0,,,,7.6,56.8,140.0,4.1,540.0,10.4,1370.0,4.9,2.3,,,52.0,4.8,0.12,2.4,60.0,0.5,0.8,41.0,53.0,37.0,11.0,48.0,63.0,12.0,12.0,85.0,88.0,49.0,33.0,42.8,18.3,88.0,69.0
Tonga,115.0,106.0,,,99.0,100.0,99.0,99.0,,,,0.1,0.8,149.0,0.4,4020.0,0.6,5760.0,3.5,2.8,47.0,13.0,15.0,13.7,,,,,,,13.0,80.0,7.0,99.0,100.0,94.0,91.0,67.0,82.0,,,,,100.0,87.0
Trinidad and Tobago,,,,,100.0,100.0,99.0,99.0,28.0,6.0,3.0,1.4,5.1,266.0,21.4,15680.0,42.1,30810.0,-5.1,-5.4,,,17.0,13.6,0.05,1.2,49.0,0.3,0.6,62.0,9.0,83.0,9.0,92.0,95.0,90.0,92.0,89.0,96.0,,,,,64.0,87.0
Tunisia,99.0,100.0,62.0,78.0,98.0,96.0,88.0,72.0,47.0,11.0,2.0,11.4,163.6,73.0,42.1,3690.0,127.2,11150.0,1.2,0.0,,,37.0,9.6,0.01,0.1,30.0,0.1,0.1,28.0,8.0,85.0,7.0,83.0,98.0,73.0,92.0,98.0,98.0,60.0,48.0,,,91.0,80.0
Turkey,92.0,91.0,98.0,93.0,100.0,99.0,98.0,92.0,23.0,2.0,1.0,79.5,785.4,103.0,888.8,11180.0,1907.5,23990.0,2.9,1.3,40.0,12.0,18.0,12.8,,,,,,,6.0,88.0,7.0,86.0,100.0,83.0,95.0,94.0,96.0,,,,,87.0,87.0
Turkmenistan,,,,,100.0,100.0,100.0,100.0,,,,5.7,488.1,12.0,37.8,6670.0,91.0,16060.0,6.2,4.4,,,70.0,6.4,,,,,,,14.0,79.0,8.0,,,,,99.0,99.0,,,,,72.0,76.0
Turks and Caicos Islands,,,,,,,,,,,,0.0,1.0,37.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,0.0,87.0
Tuvalu,88.0,109.0,93.0,108.0,,,,,,,,0.0,0.0,370.0,0.1,5090.0,0.1,5920.0,2.7,1.9,,,232.0,17.3,,,,,,,,,,90.0,98.0,73.0,83.0,94.0,96.0,,,,,47.0,87.0
Uganda,53.0,53.0,27.0,25.0,86.0,82.0,79.0,62.0,,,,41.5,241.6,207.0,27.3,660.0,75.4,1820.0,4.6,1.3,16.0,3.0,202.0,3.1,0.51,7.1,58.0,1.9,3.2,57.0,53.0,35.0,12.0,40.0,79.0,13.0,19.0,82.0,78.0,79.0,36.0,74.3,76.9,75.0,53.0
Ukraine,109.0,112.0,96.0,95.0,100.0,100.0,100.0,100.0,,,,45.0,603.6,78.0,98.6,2310.0,349.4,8190.0,2.3,2.7,49.0,14.0,91.0,6.5,0.07,0.9,45.0,0.1,0.4,28.0,4.0,90.0,6.0,,96.0,,96.0,56.0,23.0,92.0,69.0,,,72.0,74.0
United Arab Emirates,110.0,108.0,64.0,82.0,94.0,97.0,89.0,91.0,24.0,5.0,3.0,9.3,83.6,111.0,375.2,40480.0,675.3,72850.0,3.0,1.8,,,2.0,19.3,,,,,,,7.0,76.0,17.0,100.0,100.0,97.0,98.0,94.0,94.0,,,,,80.0,44.0
United Kingdom,,,,,,,,,8.0,1.0,0.0,65.6,243.6,271.0,2782.3,42390.0,2763.4,42100.0,1.8,1.0,20.0,18.0,10.0,4.7,,,,,,,7.0,90.0,3.0,100.0,100.0,99.0,99.0,95.0,96.0,,,,,81.0,89.0
United States,,,,,,,,,11.0,1.0,0.0,323.1,9831.5,35.0,18153.5,56180.0,18749.7,58030.0,1.6,0.9,20.0,15.0,3.0,10.8,,,,,,,5.0,88.0,6.0,98.0,99.0,100.0,100.0,92.0,95.0,,,,,85.0,87.0
Uruguay,103.0,104.0,54.0,68.0,98.0,99.0,98.0,99.0,25.0,3.0,1.0,3.4,176.2,20.0,52.4,15230.0,72.6,21090.0,1.5,1.1,27.0,19.0,30.0,6.1,0.03,0.5,25.0,0.3,0.1,60.0,8.0,84.0,8.0,95.0,100.0,92.0,96.0,96.0,95.0,,,,,75.0,87.0
Uzbekistan,101.0,99.0,94.0,93.0,100.0,100.0,100.0,100.0,,,,31.8,447.4,75.0,70.8,2220.0,211.6,6640.0,7.8,5.9,25.0,1.0,79.0,6.6,0.01,0.2,30.0,0.1,0.1,40.0,15.0,78.0,7.0,90.0,,84.0,100.0,99.0,99.0,,,,,87.0,69.0
Vanuatu,90.0,98.0,51.0,55.0,95.0,96.0,86.0,83.0,,,,0.3,12.2,22.0,0.8,3170.0,0.8,3050.0,4.0,1.8,,,63.0,16.6,,,,,,,19.0,73.0,8.0,62.0,95.0,35.0,58.0,53.0,64.0,72.0,41.0,51.0,5.1,87.0,82.0
"Venezuela, RB",95.0,96.0,71.0,80.0,97.0,98.0,95.0,95.0,,,,31.6,912.1,36.0,,,,,,,,,29.0,12.0,0.03,0.5,35.0,0.2,0.2,59.0,11.0,69.0,20.0,89.0,93.0,82.0,94.0,92.0,87.0,,,,,80.0,80.0
Vietnam,104.0,104.0,100.0,99.0,97.0,97.0,96.0,91.0,5.0,0.0,0.0,92.7,331.0,299.0,190.5,2050.0,561.0,6050.0,6.2,5.1,47.0,1.0,137.0,6.0,0.03,0.5,31.0,0.3,0.2,42.0,13.0,76.0,11.0,63.0,98.0,36.0,78.0,97.0,97.0,81.0,58.0,9.4,1.2,91.0,79.0
Virgin Islands (U.S.),,,,,,,,,,,,0.1,0.4,294.0,,,,,0.2,0.8,,,8.0,12.3,,,,,,,,,,100.0,100.0,96.0,96.0,,,,,,,,
West Bank and Gaza,96.0,95.0,67.0,82.0,99.0,99.0,98.0,94.0,,,,4.6,6.0,756.0,14.7,3230.0,15.0,3290.0,4.1,1.2,,,1.0,9.4,,,,,,,,,,96.0,58.0,87.0,92.0,,,77.0,38.0,,,91.0,80.0
"Yemen, Rep.",77.0,61.0,57.0,40.0,97.0,81.0,84.0,53.0,,,,27.6,528.0,52.0,28.8,1040.0,68.8,2490.0,-9.8,-12.0,,,48.0,5.1,0.01,0.1,41.0,0.1,0.1,15.0,25.0,61.0,14.0,66.0,,24.0,,67.0,69.0,34.0,40.0,,1.2,86.0,60.0
Zambia,82.0,80.0,59.0,51.0,91.0,87.0,89.0,78.0,,,,16.6,752.6,22.0,21.6,1300.0,62.8,3790.0,3.3,0.2,27.0,5.0,391.0,4.1,0.85,12.9,57.0,3.1,5.0,63.0,61.0,29.0,10.0,49.0,65.0,41.0,44.0,90.0,90.0,70.0,56.0,40.6,39.9,85.0,58.0
Zimbabwe,90.0,91.0,64.0,67.0,90.0,92.0,88.0,80.0,,,,16.2,390.8,42.0,15.2,940.0,31.0,1920.0,0.7,-1.6,31.0,2.0,242.0,3.9,0.88,14.7,59.0,3.8,5.9,62.0,57.0,30.0,13.0,79.0,77.0,40.0,37.0,86.0,87.0,51.0,51.0,9.0,1.0,81.0,72.0
