OBJECTID_1,OBJECTID,District,Route,Rte_SFX,County,PM_PFX,Postmile,PM_SFX,Descriptn,Back_pk_h,Back_pk_m,Back_AADT,Ahead_pk_h,Ahead_pk_m,Ahead_AADT,Lon_S_or_W,Lat_S_or_W,Lon_N_or_E,Lat_N_or_E
2947,2947,5,101, ,SB, ,26.907, ,HOLLISTER AVENUE,3300,40500,38700,2700,33000,30900,-119.9060341,34.43224471,-119.9059644,34.43243066
2948,2948,5,101, ,SB, ,33.852, ,EL CAPITAN BEACH STATE PARK,2600,32000,30400,2600,31000,29600,-120.0212506,34.46318414,-120.0212102,34.46337615
2949,2949,5,101, ,SB,R,48.847, ,"LAS CRUCES, JCT. RTE. 1 NORTHWEST",2900,31500,29200,1700,18900,17700,-120.225974,34.50928138,-120.2258536,34.50918423
2950,2950,5,101, ,SB,R,56.463, ,SANTA ROSA ROAD,1700,18900,17700,1700,18600,17400,-120.1919841,34.60278574,-120.1917564,34.6027253
2951,2951,5,101, ,SB,R,57.117, ,"BUELLTON, JCT. RTE. 246",1700,18600,17400,1900,20900,19500,-120.1902701,34.61220669,-120.1900428,34.61212652
2952,2952,5,101, ,SB,R,57.552, ,NORTH BUELLTON,1900,20900,19500,2400,26000,24300,-120.1894207,34.61838695,-120.1891971,34.61839579
2953,2953,5,101, ,SB, ,62.671, ,"ZACA, JCT. RTE. 154 EAST",1900,26000,24300,3100,34500,32100,-120.1577248,34.68765702,-120.1574715,34.68762789
2954,2954,5,101, ,SB, ,70.921, ,"LOS ALAMOS, JCT. RTE. 135 NORTHWEST",3100,34500,32100,2600,33000,30400,-120.2709308,34.74250519,-120.2707114,34.74259696
2955,2955,5,101, ,SB, ,82.183, ,"SANTA MARIA, CLARK AVENUE",3000,33000,30600,4000,45500,41900,-120.3964046,34.86537744,-120.3960149,34.86540424
2956,2956,5,101, ,SB, ,84.336, ,SOUTH SANTA MARIA,5100,60000,55000,4900,58000,53700,-120.4177151,34.8910206,-120.4174092,34.89092937
2957,2957,5,101, ,SB, ,86.588, ,BETTERAVIA ROAD,4900,58000,53700,5800,69000,63600,-120.4180388,34.92361066,-120.4178153,34.92360307
2958,2958,5,101, ,SB, ,87.603, ,EAST STOWELL ROAD,5800,69000,63600,6100,73000,67100,-120.4178889,34.93833224,-120.4177359,34.93832464
2959,2959,5,101, ,SB, ,88.601, ,"SANTA MARIA, JCT. RTE. 166 WEST",6100,73000,67100,6100,72000,66100,-120.417366,34.95280532,-120.4172002,34.95278747
2960,2960,5,101, ,SB, ,89.693, ,"SANTA MARIA, DONOVAN ROAD",6100,72000,66100,5800,68000,63200,-120.4231468,34.96769699,-120.4228815,34.96768883
2961,2961,5,101, ,SB, ,90.749, ,JCT. RTE. 135 SOUTH,5800,68000,63200,6900,81000,74900,-120.4314873,34.98123213,-120.4313608,34.9813296
2962,2962,5,101, ,SB, ,90.988, ,SANTA BARBARA/SAN LUIS OBISPO COUNTY LINE,6900,81000,74900, , , ,-120.4329704,34.9847017,-120.4326649,34.98453754
2963,2963,5,101, ,SLO, ,0, ,SANTA BARBARA/SAN LUIS OBISPO COUNTY LINE, , , ,7400,82000,75300,-120.4329704,34.9847017,-120.4326649,34.98453754
2964,2964,5,101, ,SLO, ,0.813, ,JCT. RTE. 166 EAST,7400,82000,75300,6100,71000,66000,-120.4348568,34.99623719,-120.4346158,34.99627652
2965,2965,5,101, ,SLO, ,4.851, ,TEFFT STREET,6100,72000,66000,6200,74000,67200,-120.4847203,35.03683102,-120.4845149,35.03695352
2966,2966,5,101, ,SLO, ,7.851, ,LOS BERROS ROAD,6200,74000,67400,6100,73000,66400,-120.5163858,35.07179844,-120.5161027,35.07183573
2967,2967,5,101, ,SLO, ,12.521, ,"ARROYO GRANDE, BRIDGE STREET",6100,73000,66400,5400,65000,59300,-120.5740244,35.11639877,-120.5738398,35.11667352
2968,2968,5,101, ,SLO, ,13.173, ,"ARROYO GRANDE, JCT. RTE. 227 NORTH",5700,69000,62600,5900,70000,63900,-120.5837845,35.12128516,-120.5835925,35.121453
2969,2969,5,101, ,SLO, ,13.747, ,"ARROYO GRANDE, BRISCO ROAD",5900,70000,63900,6100,72000,66100,-120.5932663,35.12413987,-120.5931506,35.12430513
2970,2970,5,101, ,SLO, ,14.613, ,"PISMO BEACH, OAK PARK ROAD",6100,72000,66100,6400,77000,69900,-120.6066518,35.13002792,-120.6066047,35.1302146
2971,2971,5,101, ,SLO, ,15.579, ,"PISMO BEACH, PISMO OAKS",6300,76000,69100,7100,85000,77700,-120.6219771,35.13606879,-120.6218762,35.13624185
2972,2972,5,101, ,SLO, ,16.398, ,"PISMO BEACH, SOUTH PISMO BEACH",7800,93000,84900,5900,71000,64500,-120.6356881,35.13925312,-120.6355156,35.13947855
2973,2973,5,101, ,SLO, ,17.756, ,"PISMO BEACH, JCT. RTE. 1 SOUTH",6000,76000,69800,6200,76000,70900,-120.6546288,35.15079219,-120.6545756,35.15106172
2974,2974,5,101, ,SLO,R,19.812, ,NORTH SHELL BEACH,6100,74000,68900,6300,76000,71200,-120.6870317,35.16392678,-120.6868838,35.16407941
2975,2975,5,101, ,SLO,R,21.105, ,AVILA ROAD,6300,76000,71200,6000,73000,68200,-120.6994044,35.17959253,-120.6991006,35.17958024
2976,2976,5,101, ,SLO,R,22.289, ,NORTH AVILA ROAD,6000,73000,68200,6700,81000,76300,-120.6996265,35.19608295,-120.6992278,35.19606931
2977,2977,5,101, ,SLO,R,24.296, ,SANTA FE,6700,81000,76300,6400,77000,72600,-120.6916577,35.22380814,-120.6913941,35.22396552
2978,2978,5,101, ,SLO, ,25.911, ,"SAN LUIS OBISPO, LOS OSOS ROAD",8400,77000,72600,6400,75000,71400,-120.6822431,35.24475625,-120.6821137,35.24454722
2979,2979,5,101, ,SLO, ,27.501, ,"SAN LUIS OBISPO, MADONNA ROAD",5800,69000,64100,7000,79000,74200,-120.6736045,35.26601304,-120.6734297,35.26612544
2980,2980,5,101, ,SLO, ,28.088, ,"SAN LUIS OBISPO, JCT. RTE. 227",7500,84000,78700,6700,75000,70700,-120.6714828,35.2744105,-120.6712401,35.27440512
2981,2981,5,101, ,SLO, ,29.067, ,"SAN LUIS OBISPO, JCT. RTE. 1 NORTH",5900,66000,62100,5100,57000,53400,-120.663595,35.28675905,-120.6634969,35.28663572
2982,2982,5,101, ,SLO, ,29.375, ,"SAN LUIS OBISPO, CALIFORNIA BOULEVARD",5100,57000,53400,4900,55000,51400,-120.6596101,35.28982072,-120.6595144,35.28969024
2983,2983,5,101, ,SLO, ,29.767, ,"SAN LUIS OBISPO, GRAND AVENUE",4900,55000,51400,4300,48000,45100,-120.6534942,35.29197735,-120.6535075,35.29180502
2984,2984,5,101, ,SLO, ,29.985, ,"SAN LUIS OBISPO, BUENA VISTA",4300,48000,45100,5100,56000,51100,-120.6496579,35.29190752,-120.6496871,35.29174221
2985,2985,5,101, ,SLO, ,30.36, ,"SAN LUIS OBISPO, NORTH CITY LIMITS",5100,56000,51400,5200,57000,52100,-120.6433688,35.29307857,-120.6432957,35.29299695
2986,2986,5,101, ,SLO, ,37.863, ,JCT. RTE. 58 EAST,7800,54000,50800,7400,52000,48400,-120.6304937,35.38316165,-120.6301828,35.38321832
2987,2987,5,101, ,SLO, ,42.268, ,SANTA BARBARA ROAD,7400,52000,48400,7900,56000,51700,-120.6384128,35.44346619,-120.6382086,35.44361458
2988,2988,5,101, ,SLO, ,44.008, ,SANTA ROSA ROAD,7700,55000,50700,8300,59000,54600,-120.6514264,35.46586383,-120.6512355,35.46596892
2989,2989,5,101, ,SLO, ,44.841, ,CURBARIL AVENUE,8300,59000,54600,9000,64000,59000,-120.6584797,35.47645346,-120.6582931,35.47656422
2990,2990,5,101, ,SLO, ,45.572, ,"ATASCADERO, JCT. RTE. 41",9000,64000,59000,10000,71000,65900,-120.6651112,35.48520237,-120.665089,35.48539229
2991,2991,5,101, ,SLO, ,45.957, ,TRAFFIC WAY,10000,71000,65900,10000,71000,65700,-120.6708245,35.48845709,-120.6707295,35.48862855
2992,2992,5,101, ,SLO, ,46.867, ,SAN ANSELMO ROAD,10000,71000,65700,9700,69000,63600,-120.6830893,35.49695677,-120.6828999,35.49706151
2993,2993,5,101, ,SLO, ,48.331, ,DEL RIO ROAD,9700,69000,63600,9900,70000,65000,-120.699506,35.51316549,-120.6991964,35.51311705
2994,2994,5,101, ,SLO, ,49.319, ,SAN RAMON ROAD,10600,74000,66900,10200,73000,66900,-120.7046851,35.52650725,-120.7043776,35.52658057
2995,2995,5,101, ,SLO, ,50.644, ,VINEYARD DRIVE,10200,73000,66900,9100,65000,60100,-120.7145978,35.5436827,-120.714363,35.54370613
2996,2996,5,101, ,SLO, ,51.447, ,LAS TABLAS AVENUE,9100,65000,60100,9100,65000,59800,-120.7123356,35.55425266,-120.7120137,35.55425562
2997,2997,5,101, ,SLO, ,52.44, ,"TEMPLETON, MAIN STREET",9100,65000,59800,5700,66000,55100,-120.7020856,35.56590971,-120.7019108,35.56573767
2998,2998,5,101, ,SLO, ,54.116, ,JCT. RTE. 46 WEST,6000,66000,55100,7400,82000,67700,-120.6956777,35.5893747,-120.6954377,35.58934911
2999,2999,5,101, ,SLO, ,55.674, ,SOUTH PASO ROBLES,7400,82000,67700,4600,51000,42100,-120.6912758,35.61159019,-120.6908847,35.6114327
3000,3000,5,101, ,SLO, ,56.88, ,"PASO ROBLES, 13TH STREET",3800,41500,39600,4300,47000,39000,-120.6867117,35.62791013,-120.6864538,35.6279078
3001,3001,5,101, ,SLO, ,57.92, ,"PASO ROBLES, JCT. RTE. 46 EAST",4300,47000,39000,2400,27500,24900,-120.6852267,35.64254454,-120.6850098,35.64260998
3002,3002,5,101, ,SLO, ,58.762, ,"PASO ROBLES, NORTH PASO ROBLES",2900,31000,25500,3000,31500,25800,-120.6925863,35.65290229,-120.692798,35.65319242
3003,3003,5,101, ,SLO, ,60.98, ,HUEY-EXLINE ROAD,2900,29500,26700,3300,34000,26500,-120.6969788,35.68261182,-120.696731,35.68266138
3004,3004,5,101, ,SLO, ,63.735, ,SAN MARCOS ROAD,3000,34000,24000,3000,30500,24000,-120.697933,35.72194653,-120.6977107,35.72199468
3005,3005,5,101, ,SLO, ,65.082, ,SOUTH SAN MIGUEL,2700,27500,21600,2600,26500,20600,-120.7001121,35.74087124,-120.6995153,35.74091386
3006,3006,5,101, ,SLO, ,65.557, ,"SAN MIGUEL, 10TH STREET",2600,26500,20600,2500,25500,20000,-120.7005716,35.74774465,-120.7003296,35.74773764
3007,3007,5,101, ,SLO, ,67.228, ,NORTH SAN MIGUEL,2500,25500,20000,2500,26000,20300,-120.7058002,35.77022393,-120.7052011,35.77044038
3008,3008,5,101, ,SLO,R,67.712, ,SOUTH CAMP ROBERTS,2500,26000,20300,2500,26000,20300,-120.7121689,35.77501535,-120.7118015,35.77500382
3009,3009,5,101, ,SLO,R,69.322, ,SAN LUIS OBISPO/MONTEREY COUNTY LINE,2900,29500,20300, , , ,-120.7315432,35.7910523,-120.7313291,35.79104937
3010,3010,5,101, ,MON,R,0, ,SAN LUIS OBISPO/MONTEREY COUNTY LINE, , , ,3000,32000,21900,-120.7315432,35.7910523,-120.7313291,35.79104937
3011,3011,5,101, ,MON,R,0.836, ,CAMP ROBERTS,2700,27000,21200,2700,27000,21200,-120.7427713,35.79913522,-120.7426271,35.79928382
3012,3012,5,101, ,MON,R,2.153, ,EAST GARRISON,2700,26500,20900,2700,26500,20900,-120.7547262,35.8154019,-120.7546579,35.81564747
3013,3013,5,101, ,MON,R,7.937, ,NORTH BRADLEY,2800,28000,22000,2800,28000,22000,-120.8179688,35.86453466,-120.8177504,35.86469121
3014,3014,5,101, ,MON,R,9.667, ,JOLON ROAD,2900,24300,22100,2800,30500,21400,-120.8356476,35.87383527,-120.8354021,35.87392015
3015,3015,5,101, ,MON,R,15.465, ,SAN BERNARDO,2800,26000,21400,1200,11500,9400,-120.87613,35.94698268,-120.8759228,35.94706619
3016,3016,5,101, ,MON,R,17.856, ,LOS LOBOS,1200,11500,9400,1200,11500,9400,-120.8995538,35.97545919,-120.8993452,35.97554423
3017,3017,5,101, ,MON,R,21.989, ,SAN ARDO,820,8800,7500,1600,15500,12700,-120.9222634,36.01275512,-120.9219723,36.0128693
3018,3018,5,101, ,MON,R,29.883, ,LOCKWOOD SAN LUCAS ROAD,1600,15500,12700,1600,15500,12700,-121.0216176,36.09367132,-121.0213523,36.09383719
3019,3019,5,101, ,MON,R,32.015, ,"SAN LUCAS, JCT. RTE. 198",1700,18000,15300,2100,18000,15900,-121.0235376,36.1220474,-121.0232517,36.12213771
3020,3020,5,101, ,MON,R,37.309, ,WILD HORSE ROAD,2100,18000,15800,2100,17600,15500,-121.0723272,36.18738389,-121.0721062,36.18756343
3021,3021,5,101, ,MON,R,39.766, ,"KING CITY, FIRST STREET",2100,17600,15500,2000,16800,14800,-121.1125074,36.20120466,-121.1125798,36.20140653
3022,3022,5,101, ,MON,R,40.71, ,"KING CITY, CANAL STREET",2000,16800,14800,1900,20400,15000,-121.1292703,36.2031658,-121.129278,36.20338053
3023,3023,5,101, ,MON,R,41.048,R,BEGIN RIGHT ALIGN, , , ,3600,38500,26700,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-121.1352212,36.20424928
3024,3024,5,101, ,MON,R,41.178,R,"KING CITY, BROADWAY",3600,38500,26700,4800,51000,35200,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-121.1375011,36.204505
3025,3025,5,101, ,MON,R,41.954,R,"JOLON ROAD, NORTH JCT.",4800,51000,35200,3700,39000,27200,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-121.1479808,36.19781253
3026,3026,5,101, ,MON,R,42.394,R,END RIGHT ALIGN,3700,39000,27200, , , ,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-121.1541377,36.20066581
3027,3027,5,101, ,MON,R,41.048,L,BEGIN LEFT ALIGN, , , ,4200,45000,31100,-121.1352705,36.20403478,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
3028,3028,5,101, ,MON,R,41.166,L,BROADWAY UC,3100,33000,22900,4100,44000,30600,-121.1373688,36.20405226,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
3029,3029,5,101, ,MON,R,41.921,L,"JOLON ROAD, NORTH JUNCTION",4100,44000,30600,4000,48000,27500,-121.1475361,36.19738452,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
3030,3030,5,101, ,MON,R,42.401,L,END LEFT ALIGN,3600,41500,28900, , , ,-121.1543632,36.20056387,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
3031,3031,5,101, ,MON, ,47.693, ,BREAK IN ROUTE, , , , , , ,-121.1794128,36.26148819,-121.179145,36.26147857
3032,3032,5,101, ,MON, ,47.694, ,TEAGUE AVENUE,2800,32000,22300,3000,33000,28800,-121.1794162,36.26150283,-121.1791484,36.26149322
3033,3033,5,101, ,MON, ,52.66, ,SOUTH GREENFIELD,3000,32000,28800,3000,32000,28400,-121.2343769,36.31429963,-121.2341406,36.31427609
3034,3034,5,101, ,MON, ,53.359, ,"GREENFIELD, OAK AVENUE",3000,32000,28400,3400,36500,32500,-121.2382697,36.32370024,-121.2380858,36.32379753
3035,3035,5,101, ,MON, ,53.861, ,WALNUT AVENUE,3400,36500,32500,3600,39000,34700,-121.243948,36.32930396,-121.2437538,36.32942353
3036,3036,5,101, ,MON, ,54.787, ,NORTH GREENFIELD,3600,39000,34700,3800,41000,36800,-121.2549754,36.33925638,-121.2548808,36.33949553
3037,3037,5,101, ,MON, ,60.399, ,ARROYO SECO ROAD,3900,41000,36900,4100,43500,38900,-121.3167279,36.40334278,-121.3165389,36.40349756
3038,3038,5,101, ,MON, ,61.583, ,JCT. RTE. 146 EAST,4100,43500,38900,3700,39500,35500,-121.3237829,36.41931969,-121.3237116,36.41961127
3039,3039,5,101, ,MON, ,62.696, ,NORTH SOLEDAD,3700,39500,35500,5000,53000,47600,-121.3373765,36.43159042,-121.3370696,36.43141597
3040,3040,5,101, ,MON, ,64.63, ,CAMPHORA,5000,53000,47600,4800,52000,46300,-121.3629753,36.44894598,-121.3628279,36.44908103
3041,3041,5,101, ,MON, ,66.398, ,SOLEDAD PRISON,4500,54000,46300,4800,57000,49400,-121.3877842,36.4648182,-121.38765,36.46495522
3042,3042,5,101, ,MON, ,69.372, ,GLORIA ROAD,4800,57000,49400,4600,55000,47800,-121.4274225,36.4932901,-121.4271907,36.49335097
3043,3043,5,101, ,MON, ,70.859, ,JOHNSON CANYON ROAD/ 5TH STREET,4600,55000,47800,5000,59000,51600,-121.4377288,36.51320319,-121.4375363,36.5133531
3044,3044,5,101, ,MON, ,72.605, ,NORTH GONZALES,5000,59000,51600,5700,68000,58900,-121.4641428,36.52344147,-121.4641421,36.52364872
3045,3045,5,101, ,MON, ,76.973, ,MAIN STREET,5700,68000,58900,6000,70000,61400,-121.5180661,36.56931186,-121.5178933,36.56941733
3046,3046,5,101, ,MON, ,82.469, ,SPENCE,6000,70000,61400,4700,55000,48300,-121.5864805,36.62685611,-121.5858905,36.62708284
3047,3047,5,101, ,MON, ,85.624, ,"SALINAS, AIRPORT BOULEVARD",4700,55000,48700,5200,61000,53100,-121.6229765,36.66068635,-121.6227582,36.66084239
3048,3048,5,101, ,MON, ,86.123, ,"SALINAS, SANBORN ROAD",5200,61000,53100,5700,68000,59000,-121.6280539,36.66651081,-121.6279921,36.6666797
3049,3049,5,101, ,MON, ,86.815, ,"SALINAS, JCT. RTE. 68",6300,75000,64700,7000,83000,72100,-121.6392748,36.67089519,-121.6389525,36.67081403
3050,3050,5,101, ,MON, ,87.297, ,"SALINAS, EAST MARKET STREET",7000,83000,72100,7500,89000,77600,-121.6414045,36.6775857,-121.6411809,36.6774986
3051,3051,5,101, ,MON,R,88.244, ,"SALINAS, JCT. RTE. 183",7500,89000,77600,6400,77000,72300,-121.652542,36.68688027,-121.6524989,36.68704231
3052,3052,5,101, ,MON,R,89.265, ,WEST LAUREL DRIVE,7000,85000,72300,4500,54000,45900,-121.6645856,36.69771678,-121.6643688,36.69782253
3053,3053,5,101, ,MON,R,91.012, ,BORONDA ROAD,4500,54000,45900,4100,50000,42500,-121.6599937,36.72204191,-121.6596939,36.7220184
3054,3054,5,101, ,MON,R,91.9, ,"SALINAS, ESPINOSA/RUSSELL ROADS",4100,50000,42500,2100,24900,21200,-121.6571976,36.7347686,-121.6568666,36.73469257
3055,3055,5,101, ,MON, ,95.437, ,"PRUNEDALE JUNCTION, JCT. RTE. 156 WEST",2100,24900,21200,4400,53000,45300,-121.6676424,36.78953963,-121.6674768,36.78961753
3056,3056,5,101, ,MON, ,96.14, ,SAN MIGUEL CANYON ROAD,4100,56000,47200,3200,39000,33000,-121.6642823,36.79943311,-121.6641826,36.79929003
3057,3057,5,101, ,MON, ,100.393, ,DUNBARTON ROAD,3200,39000,33000,4900,60000,50900,-121.6347576,36.84530562,-121.6345956,36.8453324
3058,3058,5,101, ,MON, ,101.316, ,MONTEREY/SAN BENITO COUNTY LINE,6100,74000,62600, , , ,-121.6301128,36.85702505,-121.6300364,36.856924
3059,3059,5,101, ,SBT, ,0, ,MONTEREY/SAN BENITO COUNTY LINE, , , ,8200,96000,83800,-121.6301128,36.85702505,-121.6300364,36.856924
3060,3060,5,101, ,SBT, ,0.312,R,BEGIN RIGHT ALIGN, , , ,4600,55000,50200,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-121.6246326,36.8591223
3061,3061,5,101, ,SBT, ,2.998,R,JCT. RTE. 156 EAST,4300,52000,47000,3500,44500,38100,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-121.5792978,36.86182953
3062,3062,5,101, ,SBT, ,3.173,R,END RIGHT ALIGN,3900,44500,41700, , , ,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-121.5770836,36.86334195
3063,3063,5,101, ,SBT, ,0.312,L,BEGIN LEFT ALIGN, , , ,4500,51000,48400,-121.6251308,36.85903942,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
3064,3064,5,101, ,SBT, ,3.049,L,N JCT. RTE. 156,4500,52000,48400,4200,52000,41700,-121.5798208,36.86209719,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
3065,3065,5,101, ,SBT, ,3.229,L,END LEFT ALIGN,4100,46000,40600, , , ,-121.5774208,36.86350719,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
3066,3066,5,101, ,SBT,R,4.898, ,JCT. RTE. 129 WEST,5200,56000,51700,6500,72000,63700,-121.5616658,36.88256719,-121.5614894,36.882467
3067,3067,5,101, ,SBT,R,6.485, ,LOMERIAS,6500,72000,63700,5000,54000,49000,-121.5567958,36.90467519,-121.5565778,36.90467653
3068,3068,5,101, ,SBT, ,7.55, ,SAN BENITO/SANTA CLARA COUNTY LINE,5100,53000,49200, , , ,-121.5480483,36.91737562,-121.54795,36.91736116
3069,3069,5,129, ,SCR,L,0, ,JCT. RTE. 1, , , ,1500,27000,15700,-121.774197,36.89430824,-121.774197,36.89430824
3070,3070,5,129, ,SCR,L,1.469, ,MAIN ST,2600,27500,20900,3200,35500,26900,-121.7533857,36.90716819,-121.7533193,36.90710303
3071,3071,5,129, ,SCR, ,0.54, ,"WATSONVILLE, BLACKBURN STREET",2400,28500,21500,1300,16400,13400,-121.7460962,36.91227254,-121.7460962,36.91227254
3072,3072,5,129, ,SCR, ,1.4, ,LAKEVIEW ROAD,1600,19500,15900,1700,19800,15000,-121.7316681,36.91683411,-121.7316681,36.91683411
3073,3073,5,129, ,SCR, ,3.35, ,CARLTON ROAD,1200,13100,12600,990,12900,10700,-121.6977606,36.92414568,-121.6977527,36.92414411
3074,3074,5,129, ,SCR, ,7.2, ,ROGGE LANE,980,13200,11000,1200,10700,10400,-121.6391533,36.90384899,-121.6391533,36.90384899
3075,3075,5,129, ,SCR, ,9.998, ,SAN BENITO/SANTA CLARA COUNTY LINE,920,10900,10300, , , ,-121.5975066,36.90051635,-121.5975066,36.90051635
3076,3076,5,129, ,SBT, ,0, ,SAN BENITO/SANTA CLARA COUNTY LINE, , , ,1400,14600,14500,-121.5975066,36.90051635,-121.5975066,36.90051635
3077,3077,5,129, ,SBT,R,2.644, ,JCT. RTE. 101,2400,20300,14800, , , ,-121.5615718,36.88252224,-121.5615718,36.88252224
3078,3078,5,135, ,SB, ,0, ,"LOS ALAMOS, JCT. RTE. 101", , , ,430,4300,4000,-120.2708503,34.74254662,-120.2708503,34.74254662
3079,3079,5,135, ,SB, ,1, ,OLD STATE HIGHWAY,290,2900,2600,300,2100,1900,-120.2876176,34.74536561,-120.2876176,34.74536561
3080,3080,5,135, ,SB,M,9.095, ,"CABRILLO HIGHWAY, JUNCTION OLD ROUTE 1",280,2200,2000,1300,12500,11500,-120.4240991,34.76646083,-120.4240991,34.76646083
3081,3081,5,135, ,SB,M,9.605, ,SAN ANTONIO ROAD,270,2400,2300,350,3100,2900,-120.428975,34.772577,-120.4287451,34.77266083
3082,3082,5,135, ,SB,M,11.722, ,SOUTH JCT. RTE. 1,940,8400,7900,1900,7600,7100,-120.4429472,34.80090886,-120.4428361,34.80115783
3083,3083,5,135, ,SB,R,9.1, ,"ORCUTT, NORTH JCT. RTE. 1",1900,7600,7100,2000,18000,16900,-120.4524638,34.85424973,-120.4517199,34.85337363
3084,3084,5,135, ,SB,R,10.412, ,EAST CLARK AVENUE,2000,18000,16900,3000,26500,24900,-120.4367871,34.86489329,-120.4365377,34.86487369
3085,3085,5,135, ,SB, ,10.93, ,FOSTER ROAD,2400,24000,19100,1300,17500,16500,-120.436648,34.88307134,-120.436489,34.88307095
3086,3086,5,135, ,SB, ,11.73, ,LAKEVIEW ROAD/SKYWAY DRIVE,2200,21500,20300,1800,23700,23200,-120.4366305,34.89451356,-120.436434,34.89449863
3087,3087,5,135, ,SB, ,12.74, ,MILLER STREET,2100,28000,27200,2500,32000,31300,-120.4360084,34.909116,-120.4358489,34.90907899
3088,3088,5,135, ,SB, ,13, ,SANTA MARIA WAY,2600,33000,32500,2400,30500,30000,-120.436028,34.912936,-120.4358373,34.91292575
3089,3089,5,135, ,SB, ,13.54, ,BETTERAVIA ROAD,2700,35500,34600,2700,34500,34000,-120.4361103,34.92081613,-120.4359367,34.92079752
3090,3090,5,135, ,SB, ,14.78, ,"SANTA MARIA, STOWELL ROAD",2500,32500,32000,2300,30000,29300,-120.4360923,34.93850929,-120.435936,34.93850725
3091,3091,5,135, ,SB, ,15.77, ,N/O MAIN,2100,29000,28000,2000,26000,25000,-120.4359592,34.9530928,-120.4357937,34.95309607
3092,3092,5,135, ,SB, ,15.772, ,"SANTA MARIA, JCT. RTE. 166",1800,23300,22600,2600,25500,22500,-120.4359564,34.9531216,-120.4357925,34.95312615
3093,3093,5,135, ,SB, ,16.77, ,"SANTA MARIA, DONOVAN ROAD",1900,22400,21900,1900,22200,21700,-120.4357251,34.9677009,-120.4355598,34.96766512
3094,3094,5,135, ,SB, ,17.806, ,"SANTA MARIA, JCT. RTE. 101",1800,20800,20500, , , ,-120.4314324,34.98129793,-120.4314324,34.98129793
3095,3095,5,144, ,SB, ,0.89, ,"SANTA BARBARA, SYCAMORE CANYON ROAD", , , ,350,3900,3500,-119.6771424,34.4294318,-119.6771424,34.4294318
3096,3096,5,144, ,SB, ,1.953, ,"SANTA BARBARA, JCT. RTE. 192",310,3600,3100, , , ,-119.6744601,34.44306783,-119.6744601,34.44306783
3097,3097,5,146, ,MON, ,3.48, ,METZ ROAD, , , ,40,750,440,-121.2780331,36.41593176,-121.2780331,36.41593176
3098,3098,5,146, ,MON, ,10.08, ,MONTEREY/SAN BENITO COUNTY LINE,40,700,410, , , ,-121.2232458,36.47237609,-121.2232458,36.47237609
3099,3099,5,146, ,SBT, ,10.08, ,MONTEREY/SAN BENITO COUNTY LINE, , , ,100,500,430,-121.2232458,36.47237609,-121.2232458,36.47237609
3100,3100,5,146, ,SBT, ,15.152, ,JCT. RTE. 25,150,580,510, , , ,-121.137064,36.518036,-121.137064,36.518036
3101,3101,5,150, ,SB,R,0, ,"CARPINTERIA, JCT. RTE. 101", , , ,1500,6400,5400,-119.4846196,34.38377537,-119.4846196,34.38377537
3102,3102,5,150, ,SB, ,2.197, ,SANTA BARBARA/VENTURA COUNTY LINE,920,3900,3300, , , ,-119.453672,34.39601676,-119.453672,34.39601676
3103,3103,5,152, ,SCR,T,0.31, ,"WATSONVILLE, JCT. RTE. 1", , , ,3100,31500,31000,-121.790445,36.92069275,-121.790292,36.919676
3104,3104,5,152, ,SCR,T,0.676, ,GREEN VALLEY RD,3100,34000,31400,4400,36000,34100,-121.7838028,36.9186996,-121.7838683,36.91853899
3105,3105,5,152, ,SCR,T,2.5, ,"WATSONVILLE, FREEDOM BLVD",4400,36000,34100,2800,30000,27900,-121.7615223,36.91515389,-121.7615226,36.91512642
3106,3106,5,152, ,SCR,T,2.803, ,"WATSONVILLE, MAIN STREET AT EAST LAKE STREET",2900,30000,28900,3700,33000,31800,-121.7583873,36.91159467,-121.7583873,36.91159467
3107,3107,5,152, ,SCR,T,2.929, ,"WATSONVILLE, ON EAST LAKE STREET AT MAIN STREET",3500,32000,30800, , , ,-121.75688,36.910242,-121.75688,36.910242
